Memory,Memory_Bandwidth,Memory_Speed,Pixel_Rate,TMUs,Max_Power,Manufacturer,Memory_Type
2048,72,1125,12,40,50,AMD,GDDR
2048,72,1125,12,40,45,AMD,GDDR
2048,64,1000,7,24,35,AMD,GDDR
2048,32,1000,5,24,35,AMD,DDR
2048,72,1125,7,24,20,AMD,GDDR
2048,32,1000,12,40,45,AMD,DDR
2048,64,1000,6,24,20,AMD,GDDR
1024,36,1125,7,24,30,AMD,GDDR
1024,32,1000,6,24,15,AMD,DDR
2048,288,900,7,24,20,AMD,DDR
1024,144,900,7,24,17,AMD,DDR
1024,36,1125,22,24,55,AMD,GDDR
1024,144,900,22,24,64,AMD,DDR
2048,144,900,7,24,25,AMD,DDR
2048,1152,900,22,48,75,AMD,GDDR
512,256,800,2,8,25,AMD,DDR
1024,1152,900,19,48,50,AMD,GDDR
1024,256,800,11,40,50,AMD,DDR
2048,256,800,9,40,39,AMD,DDR
1024,64,1000,11,40,50,AMD,GDDR
2048,512,800,6,24,35,AMD,GDDR
2048,1152,900,23,56,100,AMD,GDDR
1024,512,800,6,24,35,AMD,GDDR
512,512,800,5,24,35,AMD,GDDR
1024,512,800,5,24,30,AMD,GDDR
1024,256,800,5,24,25,AMD,DDR
1024,512,800,5,20,30,AMD,GDDR
1024,256,800,6,24,39,AMD,DDR
1024,256,800,4,24,26,AMD,DDR
1024,256,800,5,20,26,AMD,DDR
1024,128,800,3,8,11,AMD,DDR
512,256,800,3,8,14,AMD,GDDR
1024,256,800,4,20,26,AMD,DDR
1024,128,800,2,8,11,AMD,DDR
1024,128,800,3,8,11,AMD,DDR
1024,144,900,2,8,7,AMD,DDR
1024,128,800,2,8,11,AMD,DDR
1024,128,800,2,8,7,AMD,DDR
512,256,800,2,8,15,AMD,DDR
512,171,533,2,8,8,AMD,DDR
512,256,800,2,8,15,AMD,DDR
2048,112,667,2,8,18,AMD,DDR
512,171,533,1,8,4,AMD,DDR
512,256,800,2,8,9,AMD,DDR
2048,112,667,1,8,9,AMD,DDR
2048,112,667,1,8,8,AMD,DDR
2048,128,1000,22,8,75,AMD,GDDR
1024,213,667,2,8,15,AMD,DDR
2048,112,667,2,8,18,AMD,DDR
2048,64,1000,11,40,40,AMD,GDDR
2048,64,1000,13,40,45,AMD,GDDR
2048,64,1000,11,32,32,AMD,GDDR
2048,1536,1200,27,80,100,AMD,GDDR
4096,3072,1200,54,80,200,AMD,GDDR
2048,288,900,11,32,25,AMD,DDR
1024,576,900,6,24,25,AMD,GDDR
1024,288,900,10,24,20,AMD,DDR
1024,288,900,4,24,20,AMD,DDR
2048,288,900,10,24,20,AMD,DDR
1024,64,1000,9,32,28,AMD,GDDR
1024,64,1000,11,32,32,AMD,GDDR
1024,288,900,12,24,20,AMD,DDR
1024,256,800,4,24,20,AMD,DDR
1024,256,800,4,20,20,AMD,DDR
1024,256,800,4,24,14,AMD,GDDR
1024,256,800,5,24,18,AMD,GDDR
1024,128,800,4,20,11,AMD,DDR
1024,144,900,4,20,11,AMD,DDR
2048,144,900,4,24,14,AMD,DDR
1024,256,800,4,24,13,AMD,GDDR
1024,144,900,2,8,7,AMD,DDR
1024,144,900,3,8,7,AMD,DDR
512,144,900,3,8,7,AMD,DDR
1024,304,950,3,8,9,AMD,GDDR
1024,128,800,3,8,11,AMD,DDR
2048,107,667,3,8,18,AMD,DDR
1024,144,900,2,4,7,AMD,DDR
1024,128,800,2,4,5,AMD,DDR
512,85,533,2,8,18,AMD,DDR
2048,64,1000,15,56,75,AMD,GDDR
2048,64,1000,15,40,50,AMD,GDDR
2048,64,1000,10,40,35,AMD,GDDR
2048,64,1000,15,40,50,AMD,GDDR
2048,64,1000,12,48,50,AMD,GDDR
2048,64,1000,6,24,35,AMD,GDDR
2048,32,1000,7,24,35,AMD,DDR
2048,16,1000,8,24,35,AMD,DDR
4096,288,900,6,24,35,AMD,DDR
4096,32,1000,7,24,30,AMD,DDR
4096,16,1000,8,20,20,AMD,DDR
1024,144,900,5,20,17,AMD,DDR
1024,144,900,4,20,13,AMD,DDR
4096,16,1000,7,20,20,AMD,DDR
2048,16,1000,8,24,33,AMD,DDR
256,128,400,2,4,25,AMD,DDR
256,64,400,2,4,20,AMD,DDR
256,32,500,4,8,35,AMD,GDDR
256,301,470,4,8,47,AMD,GDDR
128,128,400,2,4,25,AMD,GDDR
128,8,250,1,8,24,AMD,DDR
128,8,250,1,8,24,AMD,DDR
4096,88,1375,16,56,75,AMD,GDDR
4096,96,1500,16,48,75,AMD,GDDR
256,15,470,3,8,35,AMD,GDDR
4096,96,1500,18,56,75,AMD,GDDR
4096,72,1125,15,40,75,AMD,GDDR
4096,64,1000,15,32,50,AMD,GDDR
4096,64,1000,10,40,50,AMD,GDDR
2048,16,1000,8,20,25,AMD,DDR
2048,352,1100,16,40,75,AMD,DDR
2048,176,1100,8,24,50,AMD,DDR
256,128,400,2,4,25,AMD,GDDR
4096,176,1100,8,24,50,AMD,DDR
128,63,392,2,4,20,AMD,DDR
2048,176,1100,9,20,25,AMD,DDR
2048,16,1000,8,20,25,AMD,DDR
2048,16,1000,7,20,20,AMD,DDR
4096,16,1000,8,20,25,AMD,DDR
4096,88,1375,16,56,75,AMD,GDDR
4096,96,1500,18,56,75,AMD,GDDR
256,107,333,64,4,14,Intel,DDR
512,171,533,67,8,12,Intel,DDR
128,2,250,1,8,24,AMD,DDR
4096,176,1100,9,20,25,AMD,DDR
512,691,1080,66,40,78,AMD,DDR
256,171,533,64,8,35,Intel,DDR
128,4,250,1,8,24,AMD,DDR
128,112,350,2,8,24,AMD,DDR
64,27,166,1,4,24,Intel,DDR
256,128,400,64,8,18,Intel,DDR
256,128,400,64,8,18,Intel,DDR
256,171,533,64,8,35,Intel,DDR
256,171,533,64,8,35,Intel,DDR
256,171,533,64,8,35,Intel,DDR
256,171,533,64,8,35,Intel,DDR
256,171,533,64,8,35,Intel,DDR
256,171,533,64,8,35,Intel,DDR
256,171,533,64,8,35,Intel,DDR
1024,341,1067,8,16,15,Intel,DDR
1024,341,1067,8,16,35,Intel,DDR
512,299,933,2,8,15,Intel,DDR
1024,341,1067,8,16,15,Intel,DDR
512,256,800,4,8,15,Intel,DDR
512,256,800,4,8,15,Intel,DDR
1024,341,1067,8,16,35,Intel,DDR
512,299,933,2,8,15,Intel,DDR
512,256,800,4,8,15,Intel,DDR
1024,256,800,2,4,47,Intel,DDR
1024,256,800,2,4,47,Intel,DDR
1024,256,800,2,4,47,Intel,DDR
512,256,800,2,4,15,Intel,DDR
256,213,667,64,24,35,Intel,DDR
256,213,667,64,24,35,Intel,DDR
512,213,667,64,8,17,Intel,DDR
256,171,533,64,8,35,Intel,DDR
256,213,667,64,24,35,Intel,DDR
256,171,533,4,8,18,Intel,DDR
1024,256,800,2,4,47,Intel,DDR
512,85,533,67,8,35,Intel,DDR
1024,299,933,7,16,5,Intel,DDR
1024,299,933,7,16,5,Intel,DDR
1024,299,933,8,16,5,Intel,DDR
1024,299,933,7,16,5,Intel,DDR
512,256,800,1,4,5,Intel,DDR
512,256,800,1,4,5,Intel,DDR
256,171,533,64,8,35,Intel,DDR
512,256,800,1,4,5,Intel,DDR
1024,341,1067,8,16,15,Intel,DDR
1024,341,1067,7,16,35,Intel,DDR
512,256,800,1,4,5,Intel,DDR
512,213,667,64,8,17,Intel,DDR
256,213,667,64,24,35,Intel,DDR
256,213,667,64,24,35,Intel,DDR
1720,213,667,13,24,96,Intel,DDR
512,256,800,1,4,5,Intel,DDR
512,256,800,1,4,5,Intel,DDR
256,85,533,4,8,18,Intel,DDR
1024,341,1067,8,16,45,Intel,DDR
1024,341,1067,8,16,45,Intel,DDR
512,256,800,1,4,5,Intel,DDR
1024,341,1067,8,16,45,Intel,DDR
1024,341,1067,8,16,15,Intel,DDR
256,299,933,1,4,47,Intel,DDR
1024,341,1067,8,16,45,Intel,DDR
1024,213,667,1,1,5,Intel,DDR
512,256,800,1,1,45,Intel,DDR
1024,341,1067,8,16,15,Intel,DDR
512,256,800,2,4,4,Intel,DDR
512,256,800,1,4,6,Intel,DDR
1024,213,667,2,2,10,Intel,DDR
512,85,533,67,8,35,Intel,DDR
1024,341,1067,3,24,15,Intel,DDR
512,299,933,2,8,15,Intel,DDR
1024,299,933,1,4,37,Intel,DDR
1024,341,1067,3,24,15,Intel,DDR
1024,341,1067,8,16,45,Intel,DDR
512,256,800,1,4,5,Intel,DDR
1024,299,933,8,16,5,Intel,DDR
512,256,800,4,8,15,Intel,DDR
1024,341,1067,8,16,15,Intel,DDR
512,256,800,2,4,15,Intel,DDR
512,299,933,1,4,15,Intel,DDR
1024,256,800,3,4,47,Intel,DDR
1024,341,1067,8,16,15,Intel,DDR
1024,256,800,5,4,55,Intel,DDR
3072,1024,800,1,1,47,Intel,DDR
1024,256,800,23,24,40,Intel,DDR
512,256,800,2,4,20,Intel,DDR
256,171,533,64,8,35,Intel,DDR
1024,256,800,1,4,47,Intel,DDR
256,171,533,64,8,35,Intel,DDR
512,256,800,1,4,15,Intel,DDR
512,299,933,2,8,15,Intel,DDR
512,299,933,2,8,15,Intel,DDR
1024,128,800,34,60,219,Intel,DDR
512,256,800,1,4,15,Intel,DDR
512,128,800,3,4,45,Intel,DDR
1024,128,800,34,60,219,Intel,DDR
512,299,933,2,8,28,Intel,DDR
1024,128,800,34,60,219,Intel,DDR
512,256,800,64,16,45,Intel,DDR
1024,128,800,34,60,219,Intel,DDR
1024,128,800,34,60,219,Intel,DDR
1024,128,800,34,60,219,Intel,DDR
1024,128,800,34,60,219,Intel,DDR
256,107,667,23,24,96,Intel,DDR
256,107,667,23,24,96,Intel,DDR
256,107,667,23,24,96,Intel,DDR
1024,128,800,34,60,219,Intel,DDR
256,107,667,23,24,96,Intel,DDR
1024,128,800,34,60,219,Intel,DDR
1024,128,800,34,60,219,Intel,DDR
256,107,667,23,24,96,Intel,DDR
512,691,1080,66,40,78,Intel,DDR
256,85,533,4,8,18,Intel,DDR
1024,341,1067,2,8,15,Intel,DDR
256,171,533,4,8,18,Intel,DDR
512,85,533,67,8,13,Intel,DDR
512,256,800,5,8,28,Intel,DDR
256,107,667,23,24,96,Intel,DDR
512,691,1080,66,40,78,AMD,DDR
1024,1088,1700,52,48,110,AMD,GDDR
1024,896,700,9,40,65,AMD,GDDR
2048,1792,700,9,40,130,AMD,GDDR
512,691,1080,66,40,78,AMD,DDR
1024,1088,900,23,56,45,Nvidia,GDDR
512,16,500,67,8,16,Nvidia,GDDR
512,224,700,64,16,20,Nvidia,GDDR
256,112,700,64,8,12,Nvidia,GDDR
1024,213,667,5,24,25,AMD,DDR
1024,256,800,5,24,35,AMD,DDR
256,112,700,64,8,10,Nvidia,GDDR
1024,299,933,6,24,35,AMD,DDR
2048,288,900,23,32,35,Nvidia,DDR
64,11,275,1,8,24,Nvidia,DDR
1024,1088,900,23,56,35,AMD,DDR
64,16,200,64,4,27,AMD,DDR
1024,512,800,64,24,75,Nvidia,GDDR
2048,1024,800,64,48,150,Nvidia,GDDR
1024,1024,800,64,56,130,Nvidia,GDDR
2048,1024,800,64,48,150,Nvidia,GDDR
1024,512,800,64,24,75,Nvidia,GDDR
